Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,64,"$635,000 ",17,940,6/20/17
SOLD,1598,"$670,000 ",6,1028,6/20/17
SOLD,1294,"$467,500 ",30,778,6/21/17
SOLD,1294,"$1,110,000 ",64,1414,6/21/17
SOLD,1603,"$1,231,125 ",46,1464,6/21/17
SOLD,1623,"$1,070,000 ",27,1780,6/21/17
SOLD,1294,"$1,045,000 ",5,1388,6/21/17
SOLD,1603,"$650,000 ",58,816,6/21/17
SOLD,151,"$451,000 ",2,641,6/22/17
SOLD,1568,"$1,937,000 ",0,1915,6/22/17
SOLD,1623,"$490,000 ",9,848,6/22/17
SOLD,1481,"$837,000 ",15,839,6/22/17
SOLD,1623,"$802,000 ",14,1340,6/22/17
SOLD,1641,"$685,000 ",5,855,6/23/17
SOLD,6094,"$455,000 ",24,686,6/23/17
SOLD,1623,"$1,600,000 ",9,2256,6/23/17
SOLD,298,"$2,235,000 ",20,2903,6/23/17
SOLD,298,"$1,650,000 ",89,3200,6/23/17
SOLD,1598,"$2,250,000 ",0,1999,6/23/17
SOLD,1186,"$410,000 ",25,607,6/26/17
SOLD,1635,"$785,000 ",5,1134,6/26/17
SOLD,1481,"$1,948,000 ",8,,6/26/17
SOLD,1653,"$611,000 ",7,800,6/26/17
SOLD,156,"$2,020,000 ",3,2270,6/27/17
SOLD,1623,"$690,000 ",0,783,6/27/17
SOLD,1294,"$825,000 ",6,1300,6/27/17
SOLD,5032,"$1,011,000 ",4,1160,6/27/17
SOLD,5695,"$845,000 ",0,1176,6/28/17
SOLD,1598,"$2,760,000 ",0,,6/28/17
SOLD,1603,"$557,000 ",0,732,6/28/17
SOLD,1635,"$830,000 ",0,1138,6/28/17
SOLD,1419,"$1,160,000 ",4,2059,6/29/17
SOLD,1603,"$745,000 ",0,1331,6/29/17
SOLD,1605,"$700,000 ",0,1100,6/29/17
SOLD,1598,"$999,000 ",0,1282,6/30/17
SOLD,1598,"$700,000 ",0,870,6/30/17
SOLD,1598,"$999,000 ",0,1282,6/30/17
SOLD,150,"$455,000 ",0,553,6/30/17
SOLD,1623,"$930,000 ",0,1510,6/30/17
SOLD,1598,"$997,500 ",0,1282,6/30/17
SOLD,1294,"$800,000 ",0,1185,6/30/17
SOLD,1603,"$549,000 ",0,800,6/30/17
SOLD,1623,"$1,140,000 ",0,1150,6/30/17
SOLD,5926,"$450,000 ",0,601,6/30/17
SOLD,1294,"$445,000 ",0,536,7/1/17
SOLD,1623,"$729,000 ",0,1194,7/3/17
SOLD,1294,"$595,000 ",0,735,7/5/17
SOLD,156,"$2,220,000 ",53,,7/5/17
SOLD,1608,"$605,000 ",0,800,7/5/17
SOLD,1641,"$856,000 ",0,1490,7/5/17
SOLD,1641,"$1,049,000 ",0,1833,7/5/17
SOLD,64,"$629,900 ",0,901,7/6/17
SOLD,1641,"$866,000 ",0,1315,7/6/17
SOLD,1641,"$790,000 ",0,1137,7/6/17
SOLD,1623,"$400,000 ",7,572,7/6/17
SOLD,1603,"$810,000 ",36,793,7/7/17
SOLD,156,"$960,000 ",5,1550,7/7/17
SOLD,1481,"$735,000 ",48,1390,7/7/17
SOLD,1698,"$1,575,000 ",36,,7/7/17
SOLD,1186,"$1,050,000 ",30,1578,7/10/17
SOLD,1411,"$1,700,000 ",7,2300,7/11/17
SOLD,156,"$1,465,000 ",6,,7/11/17
SOLD,1623,"$1,999,000 ",6,,7/11/17
SOLD,151,"$545,000 ",14,734,7/11/17
SOLD,1641,"$592,000 ",8,812,7/12/17
SOLD,1653,"$670,000 ",6,1144,7/12/17
SOLD,156,"$1,975,000 ",7,,7/12/17
SOLD,5237,"$2,775,000 ",12,,7/12/17
SOLD,1623,"$1,400,000 ",7,,7/12/17
SOLD,1598,"$1,600,000 ",0,2082,7/12/17
SOLD,1598,"$543,000 ",5,800,7/13/17
SOLD,151,"$590,000 ",72,735,7/13/17
SOLD,270,"$470,000 ",3,653,7/14/17
SOLD,6044,"$332,000 ",42,533,7/14/17
SOLD,1623,"$605,000 ",15,857,7/16/17
SOLD,1598,"$1,628,000 ",0,2068,7/17/17
SOLD,1623,"$1,060,000 ",62,1155,7/17/17
SOLD,5845,"$1,018,000 ",8,1542,7/17/17
SOLD,1598,"$390,000 ",6,633,7/17/17
SOLD,151,"$479,000 ",16,660,7/18/17
SOLD,5314,"$1,710,000 ",40,,7/18/17
SOLD,1411,"$1,400,000 ",12,1573,7/18/17
SOLD,1651,"$760,000 ",16,1174,7/18/17
SOLD,156,"$715,000 ",8,1042,7/18/17
SOLD,1501,"$753,000 ",34,1075,7/18/17
SOLD,298,"$370,000 ",33,515,7/18/17
SOLD,1639,"$630,000 ",8,910,7/19/17
SOLD,1641,"$969,000 ",23,1481,7/19/17
SOLD,298,"$2,200,000 ",0,2765,7/19/17
SOLD,151,"$431,000 ",6,585,7/20/17
SOLD,1603,"$450,000 ",4,620,7/20/17
SOLD,1623,"$1,275,000 ",39,,7/20/17
SOLD,298,"$445,000 ",2,620,7/20/17
SOLD,5845,"$752,000 ",9,1027,7/20/17
SOLD,64,"$760,000 ",18,1175,7/20/17
SOLD,150,"$435,000 ",12,866,7/21/17
SOLD,1294,"$395,000 ",27,579,7/21/17
SOLD,64,"$773,000 ",7,1227,7/21/17
SOLD,66,"$1,015,000 ",42,1185,7/23/17
SOLD,1641,"$437,816 ",18,550,7/23/17
SOLD,1186,"$375,000 ",17,520,7/24/17
SOLD,298,"$600,000 ",29,812,7/24/17
SOLD,5464,"$825,000 ",6,1024,7/24/17
SOLD,298,"$615,000 ",1,754,7/24/17
SOLD,151,"$369,000 ",14,585,7/24/17
SOLD,298,"$818,000 ",7,,7/24/17
SOLD,5606,"$871,000 ",6,1100,7/25/17
SOLD,1598,"$420,000 ",165,800,7/25/17
SOLD,151,"$407,000 ",8,528,7/25/17
SOLD,1598,"$595,300 ",15,727,7/25/17
SOLD,1294,"$554,000 ",5,768,7/25/17
